
CONTAINER =FILE01 Hora =10:44:26.
CONTAINER =FILE02 Hora =10:44:26.
CONTAINER =FILE01 Hora =10:44:27.
CONTAINER =FILE02 Hora =10:44:27.
CONTAINER =FILE03 Hora =10:44:27.
CONTAINER =FILE01 Hora =10:44:28.
CONTAINER =FILE02 Hora =10:44:28.
CONTAINER =FILE03 Hora =10:44:28.
CONTAINER =FILE03 Hora =10:44:29.
CONTAINER =LOCK FILE02 Hora =10:51:15.
CONTAINER =LOCK FILE01 Hora =10:51:15.
CONTAINER =LOCK FILE03 Hora =10:51:15.
CONTAINER =LOCK FILE02 Hora =10:51:16.
CONTAINER =LOCK FILE01 Hora =10:51:16.
CONTAINER =LOCK FILE03 Hora =10:51:16.
CONTAINER =LOCK FILE02 Hora =10:51:17.
CONTAINER =LOCK FILE01 Hora =10:51:17.
CONTAINER =LOCK FILE03 Hora =10:51:17.
CONTAINER =LOCK FILE01 Hora =10:53:06.
CONTAINER =LOCK FILE03 Hora =10:53:07.
CONTAINER =LOCK FILE01 Hora =10:53:07.
CONTAINER =LOCK FILE03 Hora =10:53:08.
CONTAINER =LOCK FILE01 Hora =10:53:08.
CONTAINER =LOCK FILE02 Hora =10:53:08.
CONTAINER =LOCK FILE03 Hora =10:53:09.
CONTAINER =LOCK FILE02 Hora =10:53:09.
CONTAINER =LOCK FILE02 Hora =10:53:10.
